fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.74,11.27,57.01,Porfirio Diaz
24/11/2025,1.74,11.9,57.72,Porfirio Diaz
24/11/2025,1.75,12.35,58.14,Porfirio Diaz
24/11/2025,1.74,12.68,58.44,Porfirio Diaz
24/11/2025,1.74,12.93,59.37,Porfirio Diaz
24/11/2025,1.74,13.11,60.01,Porfirio Diaz
24/11/2025,1.74,13.24,60.23,Porfirio Diaz
24/11/2025,1.74,13.35,60.57,Porfirio Diaz
24/11/2025,1.74,13.43,60.89,Porfirio Diaz
24/11/2025,1.75,12.97,61.72,Porfirio Diaz
24/11/2025,1.74,12.09,61.99,Porfirio Diaz
24/11/2025,1.74,11.16,62.51,Porfirio Diaz
24/11/2025,1.75,10.5,63.35,Porfirio Diaz
24/11/2025,1.74,10.05,63.78,Porfirio Diaz
24/11/2025,1.77,9.72,64.17,Porfirio Diaz
24/11/2025,1.74,9.39,64.46,Porfirio Diaz
24/11/2025,1.74,6.7,65.81,Porfirio Diaz
24/11/2025,1.74,4.82,66.00,Porfirio Diaz
24/11/2025,1.74,3.52,66.06,Porfirio Diaz
24/11/2025,1.74,2.61,66.47,Porfirio Diaz
24/11/2025,1.76,1.98,66.86,Porfirio Diaz
24/11/2025,1.75,1.54,67.55,Porfirio Diaz
24/11/2025,1.74,1.23,68.47,Porfirio Diaz
24/11/2025,1.74,1.01,68.47,Porfirio Diaz
24/11/2025,1.74,0.86,69.19,Porfirio Diaz
24/11/2025,1.74,0.76,69.84,Porfirio Diaz
24/11/2025,1.75,0.69,70.37,Porfirio Diaz
24/11/2025,1.75,0.61,70.45,Porfirio Diaz
24/11/2025,1.77,0.56,71.13,Porfirio Diaz
24/11/2025,1.74,0.52,71.75,Porfirio Diaz
24/11/2025,1.74,0.51,72.06,Porfirio Diaz
24/11/2025,1.75,0.5,72.98,Porfirio Diaz
24/11/2025,1.74,0.49,73.69,Porfirio Diaz
24/11/2025,1.74,0.48,74.31,Porfirio Diaz
