fecha,magnitudVibracion,corriente,tiempo,operador
24/11/2025,1.8,1.84,55.95,Porfirio Diaz
24/11/2025,1.77,1.71,56.58,Porfirio Diaz
24/11/2025,1.73,1.62,57.68,Porfirio Diaz
24/11/2025,1.83,1.65,58.01,Porfirio Diaz
24/11/2025,1.79,2.05,58.31,Porfirio Diaz
24/11/2025,1.83,2.39,58.46,Porfirio Diaz
24/11/2025,1.64,2.63,59.24,Porfirio Diaz
24/11/2025,1.83,2.84,59.55,Porfirio Diaz
24/11/2025,1.83,3.01,60.57,Porfirio Diaz
24/11/2025,1.87,3.14,60.87,Porfirio Diaz
24/11/2025,1.71,3.27,61.56,Porfirio Diaz
24/11/2025,1.84,3.38,61.88,Porfirio Diaz
24/11/2025,1.88,3.46,62.31,Porfirio Diaz
24/11/2025,1.8,3.53,62.62,Porfirio Diaz
24/11/2025,1.85,3.6,63.54,Porfirio Diaz
24/11/2025,1.56,3.66,63.60,Porfirio Diaz
24/11/2025,1.75,3.71,64.46,Porfirio Diaz
24/11/2025,1.55,3.74,65.07,Porfirio Diaz
24/11/2025,1.87,3.77,65.52,Porfirio Diaz
24/11/2025,1.69,3.81,66.21,Porfirio Diaz
24/11/2025,1.9,3.83,67.02,Porfirio Diaz
24/11/2025,1.79,3.88,67.33,Porfirio Diaz
24/11/2025,2.08,3.81,67.92,Porfirio Diaz
24/11/2025,1.93,3.36,68.25,Porfirio Diaz
24/11/2025,1.53,2.85,69.17,Porfirio Diaz
24/11/2025,1.77,2.51,69.17,Porfirio Diaz
24/11/2025,1.87,2.31,70.09,Porfirio Diaz
24/11/2025,1.43,2.23,70.09,Porfirio Diaz
24/11/2025,1.61,2.18,70.50,Porfirio Diaz
24/11/2025,1.67,2.14,71.43,Porfirio Diaz
24/11/2025,1.91,2.13,71.83,Porfirio Diaz
24/11/2025,1.84,2.15,72.14,Porfirio Diaz
24/11/2025,1.59,2.19,72.75,Porfirio Diaz
24/11/2025,1.89,2.21,73.68,Porfirio Diaz
24/11/2025,2.14,2.22,74.02,Porfirio Diaz
24/11/2025,1.55,2.23,74.60,Porfirio Diaz
24/11/2025,1.66,2.24,75.32,Porfirio Diaz
24/11/2025,2.21,2.25,75.93,Porfirio Diaz
24/11/2025,1.74,2.34,76.23,Porfirio Diaz
24/11/2025,1.6,2.42,77.05,Porfirio Diaz
24/11/2025,1.72,2.4,77.36,Porfirio Diaz
24/11/2025,2.02,2.43,77.98,Porfirio Diaz
24/11/2025,1.42,2.45,78.28,Porfirio Diaz
24/11/2025,1.62,2.5,78.90,Porfirio Diaz
